"","Subject","Activity","Measure","mean_or_standarddeviation","MeanValue"
"3807",5,"STANDING","TimeBodyGyroscope","standarddeviation",-0.910395222321429
"3808",5,"WALKING","TimeBodyGyroscope","standarddeviation",-0.490877497857143
"3809",5,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.46064684487234
"3810",5,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.443342262340426
"3811",6,"LAYING","TimeBodyGyroscope","standarddeviation",-0.955378225087719
"3812",6,"SITTING","TimeBodyGyroscope","standarddeviation",-0.957367681818182
"3813",6,"STANDING","TimeBodyGyroscope","standarddeviation",-0.947561298596491
"3814",6,"WALKING","TimeBodyGyroscope","standarddeviation",-0.446020952631579
"3815",6,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.19830385328125
"3816",6,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.321973723647059
"3817",7,"LAYING","TimeBodyGyroscope","standarddeviation",-0.9601268225
"3818",7,"SITTING","TimeBodyGyroscope","standarddeviation",-0.941870953333333
"3819",7,"STANDING","TimeBodyGyroscope","standarddeviation",-0.945247687358491
"3820",7,"WALKING","TimeBodyGyroscope","standarddeviation",-0.503313517017544
"3821",7,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.407744096
"3822",7,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.363853236862745
"3823",8,"LAYING","TimeBodyGyroscope","standarddeviation",-0.965204017592593
"3824",8,"SITTING","TimeBodyGyroscope","standarddeviation",-0.984524052826087
"3825",8,"STANDING","TimeBodyGyroscope","standarddeviation",-0.972990379814815
"3826",8,"WALKING","TimeBodyGyroscope","standarddeviation",-0.1992097184375
"3827",8,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.258430885531579
"3828",8,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.367428367219512
"3829",9,"LAYING","TimeBodyGyroscope","standarddeviation",-0.9422465098
"3830",9,"SITTING","TimeBodyGyroscope","standarddeviation",-0.9590200492
"3831",9,"STANDING","TimeBodyGyroscope","standarddeviation",-0.921990612
"3832",9,"WALKING","TimeBodyGyroscope","standarddeviation",-0.476163506730769
"3833",9,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.396429197952381
"3834",9,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.343976630734694
"3835",10,"LAYING","TimeBodyGyroscope","standarddeviation",-0.961713199827586
"3836",10,"SITTING","TimeBodyGyroscope","standarddeviation",-0.988873097222222
"3837",10,"STANDING","TimeBodyGyroscope","standarddeviation",-0.929895057954545
"3838",10,"WALKING","TimeBodyGyroscope","standarddeviation",-0.414205475283019
"3839",10,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.304745377026316
"3840",10,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.308534708121277
"3841",11,"LAYING","TimeBodyGyroscope","standarddeviation",-0.980836884561403
"3842",11,"SITTING","TimeBodyGyroscope","standarddeviation",-0.988164911509434
"3843",11,"STANDING","TimeBodyGyroscope","standarddeviation",-0.980242494680851
"3844",11,"WALKING","TimeBodyGyroscope","standarddeviation",-0.596346930847458
"3845",11,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.374069023580435
"3846",11,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.501331630185185
"3847",12,"LAYING","TimeBodyGyroscope","standarddeviation",-0.966090742
"3848",12,"SITTING","TimeBodyGyroscope","standarddeviation",-0.974425351960784
"3849",12,"STANDING","TimeBodyGyroscope","standarddeviation",-0.883655251803279
"3850",12,"WALKING","TimeBodyGyroscope","standarddeviation",-0.5462634706
"3851",12,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.362143061643478
"3852",12,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.526659296134615
"3853",13,"LAYING","TimeBodyGyroscope","standarddeviation",-0.972143470322581
"3854",13,"SITTING","TimeBodyGyroscope","standarddeviation",-0.985844263265306
"3855",13,"STANDING","TimeBodyGyroscope","standarddeviation",-0.955577395789474
"3856",13,"WALKING","TimeBodyGyroscope","standarddeviation",-0.376059914210526
"3857",13,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.417014161553191
"3858",13,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.541066687090909
"3859",14,"LAYING","TimeBodyGyroscope","standarddeviation",-0.957221015098039
"3860",14,"SITTING","TimeBodyGyroscope","standarddeviation",-0.980829981481481
"3861",14,"STANDING","TimeBodyGyroscope","standarddeviation",-0.9610917615
"3862",14,"WALKING","TimeBodyGyroscope","standarddeviation",-0.60038822220339
"3863",14,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.354551638377778
"3864",14,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.454283337592593
"3865",15,"LAYING","TimeBodyGyroscope","standarddeviation",-0.957167680694444
"3866",15,"SITTING","TimeBodyGyroscope","standarddeviation",-0.988204115254237
"3867",15,"STANDING","TimeBodyGyroscope","standarddeviation",-0.947790802075472
"3868",15,"WALKING","TimeBodyGyroscope","standarddeviation",-0.329624620185185
"3869",15,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.318692525928571
"3870",15,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.415251317916667
"3871",16,"LAYING","TimeBodyGyroscope","standarddeviation",-0.977010769857143
"3872",16,"SITTING","TimeBodyGyroscope","standarddeviation",-0.981037373333333
"3873",16,"STANDING","TimeBodyGyroscope","standarddeviation",-0.973400107564103
"3874",16,"WALKING","TimeBodyGyroscope","standarddeviation",-0.654171847058823
"3875",16,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.45418847106383
"3876",16,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.508087166666667
"3877",17,"LAYING","TimeBodyGyroscope","standarddeviation",-0.975893061830986
"3878",17,"SITTING","TimeBodyGyroscope","standarddeviation",-0.98963832578125
"3879",17,"STANDING","TimeBodyGyroscope","standarddeviation",-0.981373082948718
"3880",17,"WALKING","TimeBodyGyroscope","standarddeviation",-0.47981351295082
"3881",17,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.370436868891304
"3882",17,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.496562732729167
"3883",18,"LAYING","TimeBodyGyroscope","standarddeviation",-0.992872598
"3884",18,"SITTING","TimeBodyGyroscope","standarddeviation",-0.991956958947368
"3885",18,"STANDING","TimeBodyGyroscope","standarddeviation",-0.962254249589041
"3886",18,"WALKING","TimeBodyGyroscope","standarddeviation",-0.7044397775
"3887",18,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.502473033509091
"3888",18,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.593841504137931
"3889",19,"LAYING","TimeBodyGyroscope","standarddeviation",-0.981357611445783
"3890",19,"SITTING","TimeBodyGyroscope","standarddeviation",-0.984625306849315
"3891",19,"STANDING","TimeBodyGyroscope","standarddeviation",-0.946109711917808
"3892",19,"WALKING","TimeBodyGyroscope","standarddeviation",-0.0264357957923077
"3893",19,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",0.267657219333333
"3894",19,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.4068000325
"3895",20,"LAYING","TimeBodyGyroscope","standarddeviation",-0.984477414264706
"3896",20,"SITTING","TimeBodyGyroscope","standarddeviation",-0.976309017121212
"3897",20,"STANDING","TimeBodyGyroscope","standarddeviation",-0.886749172739726
"3898",20,"WALKING","TimeBodyGyroscope","standarddeviation",-0.23294061427451
"3899",20,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.204939567711111
"3900",20,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.492701193921569
"3901",21,"LAYING","TimeBodyGyroscope","standarddeviation",-0.975411857555556
"3902",21,"SITTING","TimeBodyGyroscope","standarddeviation",-0.988410501294118
"3903",21,"STANDING","TimeBodyGyroscope","standarddeviation",-0.962514526067416
"3904",21,"WALKING","TimeBodyGyroscope","standarddeviation",-0.432232883846154
"3905",21,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.442148617666667
"3906",21,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.53190941893617
"3907",22,"LAYING","TimeBodyGyroscope","standarddeviation",-0.956641905833333
"3908",22,"SITTING","TimeBodyGyroscope","standarddeviation",-0.981099172419355
"3909",22,"STANDING","TimeBodyGyroscope","standarddeviation",-0.917837043333333
"3910",22,"WALKING","TimeBodyGyroscope","standarddeviation",-0.318537865869565
"3911",22,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.237349190997222
"3912",22,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.301491709628571
"3913",23,"LAYING","TimeBodyGyroscope","standarddeviation",-0.981849400972222
"3914",23,"SITTING","TimeBodyGyroscope","standarddeviation",-0.980363734264706
"3915",23,"STANDING","TimeBodyGyroscope","standarddeviation",-0.942011240294118
"3916",23,"WALKING","TimeBodyGyroscope","standarddeviation",-0.494322648644068
"3917",23,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.416133032777778
"3918",23,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.550664576666667
"3919",24,"LAYING","TimeBodyGyroscope","standarddeviation",-0.982651720138889
"3920",24,"SITTING","TimeBodyGyroscope","standarddeviation",-0.988111648676471
"3921",24,"STANDING","TimeBodyGyroscope","standarddeviation",-0.960738660289855
"3922",24,"WALKING","TimeBodyGyroscope","standarddeviation",-0.580597373275862
"3923",24,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.431919067945455
"3924",24,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.577426408813559
"3925",25,"LAYING","TimeBodyGyroscope","standarddeviation",-0.889769639726027
"3926",25,"SITTING","TimeBodyGyroscope","standarddeviation",-0.989907584153846
"3927",25,"STANDING","TimeBodyGyroscope","standarddeviation",-0.971357421216216
"3928",25,"WALKING","TimeBodyGyroscope","standarddeviation",-0.401158753783784
"3929",25,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.288824754586207
"3930",25,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.489011794784615
"3931",26,"LAYING","TimeBodyGyroscope","standarddeviation",-0.990328197763158
"3932",26,"SITTING","TimeBodyGyroscope","standarddeviation",-0.991027700512821
"3933",26,"STANDING","TimeBodyGyroscope","standarddeviation",-0.973785111216216
"3934",26,"WALKING","TimeBodyGyroscope","standarddeviation",-0.492885711355932
"3935",26,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.33131291446
"3936",26,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.550274396
"3937",27,"LAYING","TimeBodyGyroscope","standarddeviation",-0.988837212162162
"3938",27,"SITTING","TimeBodyGyroscope","standarddeviation",-0.988492425142857
"3939",27,"STANDING","TimeBodyGyroscope","standarddeviation",-0.9699020075
"3940",27,"WALKING","TimeBodyGyroscope","standarddeviation",-0.606860248596491
"3941",27,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.363722908386364
"3942",27,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.562461004705882
"3943",28,"LAYING","TimeBodyGyroscope","standarddeviation",-0.95516227975
"3944",28,"SITTING","TimeBodyGyroscope","standarddeviation",-0.979671983472222
"3945",28,"STANDING","TimeBodyGyroscope","standarddeviation",-0.884032232405063
"3946",28,"WALKING","TimeBodyGyroscope","standarddeviation",-0.503798624074074
"3947",28,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.268106330991304
"3948",28,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.518818227843137
"3949",29,"LAYING","TimeBodyGyroscope","standarddeviation",-0.994276591304348
"3950",29,"SITTING","TimeBodyGyroscope","standarddeviation",-0.990178704833333
"3951",29,"STANDING","TimeBodyGyroscope","standarddeviation",-0.977994819846154
"3952",29,"WALKING","TimeBodyGyroscope","standarddeviation",-0.598868670943396
"3953",29,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.282077257508333
"3954",29,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.323904731622449
"3955",30,"LAYING","TimeBodyGyroscope","standarddeviation",-0.973662822428571
"3956",30,"SITTING","TimeBodyGyroscope","standarddeviation",-0.988132669516129
"3957",30,"STANDING","TimeBodyGyroscope","standarddeviation",-0.911408517966102
"3958",30,"WALKING","TimeBodyGyroscope","standarddeviation",-0.387920593846154
"3959",30,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.265923160895161
"3960",30,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.493837520761538
"3961",1,"LAYING","TimeBodyGyroscope","standarddeviation",-0.9510904402
"3962",1,"SITTING","TimeBodyGyroscope","standarddeviation",-0.966473895319149
"3963",1,"STANDING","TimeBodyGyroscope","standarddeviation",-0.98773444
"3964",1,"WALKING","TimeBodyGyroscope","standarddeviation",-0.0546077686594737
"3965",1,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.126349194938775
"3966",1,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",0.00410518379811321
"3967",2,"LAYING","TimeBodyGyroscope","standarddeviation",-0.982291608958333
"3968",2,"SITTING","TimeBodyGyroscope","standarddeviation",-0.978919526956522
"3969",2,"STANDING","TimeBodyGyroscope","standarddeviation",-0.971441996481481
"3970",2,"WALKING","TimeBodyGyroscope","standarddeviation",-0.53845366779661
"3971",2,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.415739144893617
"3972",2,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.466298336666667
"3973",3,"LAYING","TimeBodyGyroscope","standarddeviation",-0.977272653709677
"3974",3,"SITTING","TimeBodyGyroscope","standarddeviation",-0.944854571346154
"3975",3,"STANDING","TimeBodyGyroscope","standarddeviation",-0.927788618196721
"3976",3,"WALKING","TimeBodyGyroscope","standarddeviation",-0.563793260172414
"3977",3,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.546740387959184
"3978",3,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.582742845932203
"3979",4,"LAYING","TimeBodyGyroscope","standarddeviation",-0.961109291851852
"3980",4,"SITTING","TimeBodyGyroscope","standarddeviation",-0.9584681204
"3981",4,"STANDING","TimeBodyGyroscope","standarddeviation",-0.949227146964286
"3982",4,"WALKING","TimeBodyGyroscope","standarddeviation",-0.665394092833333
"3983",4,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.699453537111111
"3984",4,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.551185569230769
"3985",5,"LAYING","TimeBodyGyroscope","standarddeviation",-0.977427370576923
"3986",5,"SITTING","TimeBodyGyroscope","standarddeviation",-0.950064068181818
"3987",5,"STANDING","TimeBodyGyroscope","standarddeviation",-0.933738104107143
"3988",5,"WALKING","TimeBodyGyroscope","standarddeviation",-0.504622029821429
"3989",5,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.409134149148936
"3990",5,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.440345826382979
"3991",6,"LAYING","TimeBodyGyroscope","standarddeviation",-0.943634949473684
"3992",6,"SITTING","TimeBodyGyroscope","standarddeviation",-0.944130044727273
"3993",6,"STANDING","TimeBodyGyroscope","standarddeviation",-0.94248658631579
"3994",6,"WALKING","TimeBodyGyroscope","standarddeviation",-0.331702267894737
"3995",6,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.18922957
"3996",6,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.315799901607843
"3997",7,"LAYING","TimeBodyGyroscope","standarddeviation",-0.945071935384615
"3998",7,"SITTING","TimeBodyGyroscope","standarddeviation",-0.944124336458333
"3999",7,"STANDING","TimeBodyGyroscope","standarddeviation",-0.949646946792453
"4000",7,"WALKING","TimeBodyGyroscope","standarddeviation",-0.23109830545614
"4001",7,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.29262613606383
"4002",7,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.572996820784314
"4003",8,"LAYING","TimeBodyGyroscope","standarddeviation",-0.952039385740741
"4004",8,"SITTING","TimeBodyGyroscope","standarddeviation",-0.97150069673913
"4005",8,"STANDING","TimeBodyGyroscope","standarddeviation",-0.969421045555556
"4006",8,"WALKING","TimeBodyGyroscope","standarddeviation",-0.2119972775
"4007",8,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",0.0243131207736842
"4008",8,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.0666980861414634
"4009",9,"LAYING","TimeBodyGyroscope","standarddeviation",-0.9266185314
"4010",9,"SITTING","TimeBodyGyroscope","standarddeviation",-0.9191882264
"4011",9,"STANDING","TimeBodyGyroscope","standarddeviation",-0.946046640444444
"4012",9,"WALKING","TimeBodyGyroscope","standarddeviation",-0.467054167884615
"4013",9,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.340765233142857
"4014",9,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.400859067959184
"4015",10,"LAYING","TimeBodyGyroscope","standarddeviation",-0.953660207586207
"4016",10,"SITTING","TimeBodyGyroscope","standarddeviation",-0.984373304814815
"4017",10,"STANDING","TimeBodyGyroscope","standarddeviation",-0.958861164090909
"4018",10,"WALKING","TimeBodyGyroscope","standarddeviation",-0.250853318679245
"4019",10,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.311407525263158
"4020",10,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",0.0411724668680851
"4021",11,"LAYING","TimeBodyGyroscope","standarddeviation",-0.982442644035088
"4022",11,"SITTING","TimeBodyGyroscope","standarddeviation",-0.982249040188679
"4023",11,"STANDING","TimeBodyGyroscope","standarddeviation",-0.994210471914894
"4024",11,"WALKING","TimeBodyGyroscope","standarddeviation",-0.499625287288136
"4025",11,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.495911719565217
"4026",11,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.28204453962963
"4027",12,"LAYING","TimeBodyGyroscope","standarddeviation",-0.953873893833333
"4028",12,"SITTING","TimeBodyGyroscope","standarddeviation",-0.960497127647059
"4029",12,"STANDING","TimeBodyGyroscope","standarddeviation",-0.941469207540984
"4030",12,"WALKING","TimeBodyGyroscope","standarddeviation",-0.4494013978
"4031",12,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.47628774326087
"4032",12,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.522949798269231
"4033",13,"LAYING","TimeBodyGyroscope","standarddeviation",-0.96270462
"4034",13,"SITTING","TimeBodyGyroscope","standarddeviation",-0.979668456122449
"4035",13,"STANDING","TimeBodyGyroscope","standarddeviation",-0.971721755964912
"4036",13,"WALKING","TimeBodyGyroscope","standarddeviation",-0.290023550315789
"4037",13,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.198848161170213
"4038",13,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.403572169636364
"4039",14,"LAYING","TimeBodyGyroscope","standarddeviation",-0.932499780588235
"4040",14,"SITTING","TimeBodyGyroscope","standarddeviation",-0.962048191666667
"4041",14,"STANDING","TimeBodyGyroscope","standarddeviation",-0.9462806205
"4042",14,"WALKING","TimeBodyGyroscope","standarddeviation",-0.0148392604279661
"4043",14,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",0.0569902222622222
"4044",14,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",0.476518714444444
"4045",15,"LAYING","TimeBodyGyroscope","standarddeviation",-0.961142911805556
"4046",15,"SITTING","TimeBodyGyroscope","standarddeviation",-0.975321519491525
"4047",15,"STANDING","TimeBodyGyroscope","standarddeviation",-0.971332584339623
"4048",15,"WALKING","TimeBodyGyroscope","standarddeviation",-0.420865007777778
"4049",15,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.37320816
"4050",15,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.3302332351
"4051",16,"LAYING","TimeBodyGyroscope","standarddeviation",-0.970747514
"4052",16,"SITTING","TimeBodyGyroscope","standarddeviation",-0.958336595507246
"4053",16,"STANDING","TimeBodyGyroscope","standarddeviation",-0.980110277307692
"4054",16,"WALKING","TimeBodyGyroscope","standarddeviation",-0.612593634117647
"4055",16,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.528329304680851
"4056",16,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.58638289372549
"4057",17,"LAYING","TimeBodyGyroscope","standarddeviation",-0.971484336197183
"4058",17,"SITTING","TimeBodyGyroscope","standarddeviation",-0.98612868078125
"4059",17,"STANDING","TimeBodyGyroscope","standarddeviation",-0.985121164615385
"4060",17,"WALKING","TimeBodyGyroscope","standarddeviation",-0.454932903934426
"4061",17,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.459281989565217
"4062",17,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.493044125208333
"4063",18,"LAYING","TimeBodyGyroscope","standarddeviation",-0.984202872923077
"4064",18,"SITTING","TimeBodyGyroscope","standarddeviation",-0.986753343859649
"4065",18,"STANDING","TimeBodyGyroscope","standarddeviation",-0.980417134246575
"4066",18,"WALKING","TimeBodyGyroscope","standarddeviation",-0.496431539642857
"4067",18,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.617230786
"4068",18,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.507297003103448
"4069",19,"LAYING","TimeBodyGyroscope","standarddeviation",-0.963617705662651
"4070",19,"SITTING","TimeBodyGyroscope","standarddeviation",-0.959758309589041
"4071",19,"STANDING","TimeBodyGyroscope","standarddeviation",-0.96957632369863
"4072",19,"WALKING","TimeBodyGyroscope","standarddeviation",-0.114406108840577
"4073",19,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",0.0483147743589744
"4074",19,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.17263322355
"4075",20,"LAYING","TimeBodyGyroscope","standarddeviation",-0.972941910294118
"4076",20,"SITTING","TimeBodyGyroscope","standarddeviation",-0.960104508636364
"4077",20,"STANDING","TimeBodyGyroscope","standarddeviation",-0.903913940684931
"4078",20,"WALKING","TimeBodyGyroscope","standarddeviation",0.0858321519372549
"4079",20,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.146794177311111
"4080",20,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.104722161186078
"4081",21,"LAYING","TimeBodyGyroscope","standarddeviation",-0.952147091444444
"4082",21,"SITTING","TimeBodyGyroscope","standarddeviation",-0.976380487294118
"4083",21,"STANDING","TimeBodyGyroscope","standarddeviation",-0.955979192696629
"4084",21,"WALKING","TimeBodyGyroscope","standarddeviation",-0.397892316730769
"4085",21,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.353733478222222
"4086",21,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.463136841489362
"4087",22,"LAYING","TimeBodyGyroscope","standarddeviation",-0.9618849625
"4088",22,"SITTING","TimeBodyGyroscope","standarddeviation",-0.950173478548387
"4089",22,"STANDING","TimeBodyGyroscope","standarddeviation",-0.964714672857143
"4090",22,"WALKING","TimeBodyGyroscope","standarddeviation",-0.486322106521739
"4091",22,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.550303216666667
"4092",22,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.489417908809524
"4093",23,"LAYING","TimeBodyGyroscope","standarddeviation",-0.959195236388889
"4094",23,"SITTING","TimeBodyGyroscope","standarddeviation",-0.948109526029412
"4095",23,"STANDING","TimeBodyGyroscope","standarddeviation",-0.948074760882353
"4096",23,"WALKING","TimeBodyGyroscope","standarddeviation",0.25945722920339
"4097",23,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",0.213825552277778
"4098",23,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.293681861176471
"4099",24,"LAYING","TimeBodyGyroscope","standarddeviation",-0.960299550972222
"4100",24,"SITTING","TimeBodyGyroscope","standarddeviation",-0.977954005147059
"4101",24,"STANDING","TimeBodyGyroscope","standarddeviation",-0.967298518695652
"4102",24,"WALKING","TimeBodyGyroscope","standarddeviation",-0.487166280172414
"4103",24,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.484673524
"4104",24,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.568534124576271
"4105",25,"LAYING","TimeBodyGyroscope","standarddeviation",-0.936630803287671
"4106",25,"SITTING","TimeBodyGyroscope","standarddeviation",-0.981193501846154
"4107",25,"STANDING","TimeBodyGyroscope","standarddeviation",-0.976757621081081
"4108",25,"WALKING","TimeBodyGyroscope","standarddeviation",-0.604032097432432
"4109",25,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.523377914655172
"4110",25,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.433673383846154
"4111",26,"LAYING","TimeBodyGyroscope","standarddeviation",-0.979325678815789
"4112",26,"SITTING","TimeBodyGyroscope","standarddeviation",-0.973444813846154
"4113",26,"STANDING","TimeBodyGyroscope","standarddeviation",-0.982408142702703
"4114",26,"WALKING","TimeBodyGyroscope","standarddeviation",-0.57573544779661
"4115",26,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.4734080504
"4116",26,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.603097110545455
"4117",27,"LAYING","TimeBodyGyroscope","standarddeviation",-0.98428747527027
"4118",27,"SITTING","TimeBodyGyroscope","standarddeviation",-0.982067465142857
"4119",27,"STANDING","TimeBodyGyroscope","standarddeviation",-0.982498991125
"4120",27,"WALKING","TimeBodyGyroscope","standarddeviation",-0.529865057894737
"4121",27,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.481813367954545
"4122",27,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.587966800588235
"4123",28,"LAYING","TimeBodyGyroscope","standarddeviation",-0.960057463625
"4124",28,"SITTING","TimeBodyGyroscope","standarddeviation",-0.956316505972222
"4125",28,"STANDING","TimeBodyGyroscope","standarddeviation",-0.940006320126582
"4126",28,"WALKING","TimeBodyGyroscope","standarddeviation",-0.497684006666667
"4127",28,"WALKING_DOWNSTAIRS","TimeBodyGyroscope","standarddeviation",-0.259368686847826
"4128",28,"WALKING_UPSTAIRS","TimeBodyGyroscope","standarddeviation",-0.479319521372549
"4129",29,"LAYING","TimeBodyGyroscope","standarddeviation",-0.992750957826087
